policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,921,84,6.0,0.75,0.9989,1.0,0.9993,10.6248,8.6196,,,
fixed-depth,0.50,921,84,12.0,0.5,0.9978,1.0,0.9985,10.4564,8.8454,,,
fixed-depth,0.75,921,84,18.0,0.25,0.9164,0.9405,0.922,6.7331,4.5964,,,
fixed-depth,1.00,921,84,24.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,,
stability-oracle,first-final-stable,921,84,22.561,0.0599,0.0,0.0,0.0,0.8268,0.6805,,,
entropy,threshold=0.10,921,84,21.85,0.0896,0.114,0.131,0.1189,1.3245,1.7495,,0.0800-0.1765,0.0958-0.1380
tokentriage-minlayer,"entropy=0.10,min=0.50",921,84,21.951,0.0854,0.114,0.131,0.1189,1.3079,1.5682,0.0,0.0800-0.1765,0.0958-0.1380
tokentriage-stable,"entropy=0.10,min=0.50",921,84,22.085,0.0798,0.1021,0.0,0.07,1.1838,0.2071,1.0,0.0000-0.0000,0.0518-0.0876
tokentriage-kstable,"entropy=0.10,min=0.50,k=2",921,84,21.967,0.0847,0.114,0.131,0.1189,1.2988,1.4683,0.0,0.0800-0.1765,0.0958-0.1380
tokentriage-kstable,"entropy=0.10,min=0.50,k=3",921,84,22.016,0.0827,0.1118,0.1071,0.1099,1.2631,1.0764,0.1818,0.0533-0.1596,0.0865-0.1295
tokentriage-kstable,"entropy=0.10,min=0.50,k=4",921,84,22.062,0.0808,0.1064,0.0476,0.0875,1.2043,0.4315,0.6364,0.0115-0.0833,0.0654-0.1043
tokentriage-minlayer,"entropy=0.10,min=0.65",921,84,21.999,0.0834,0.114,0.131,0.1189,1.2708,1.1617,0.0,0.0800-0.1765,0.0958-0.1380
tokentriage-stable,"entropy=0.10,min=0.65",921,84,22.085,0.0798,0.1021,0.0,0.07,1.1838,0.2071,1.0,0.0000-0.0000,0.0518-0.0876
tokentriage-kstable,"entropy=0.10,min=0.65,k=2",921,84,22.026,0.0822,0.1129,0.119,0.1148,1.2429,0.8553,0.0909,0.0667-0.1649,0.0915-0.1337
tokentriage-kstable,"entropy=0.10,min=0.65,k=3",921,84,22.047,0.0814,0.1097,0.0833,0.1009,1.2271,0.6822,0.3636,0.0137-0.1340,0.0707-0.1244
tokentriage-kstable,"entropy=0.10,min=0.65,k=4",921,84,22.075,0.0802,0.1053,0.0357,0.0826,1.1907,0.283,0.7273,0.0000-0.0753,0.0598-0.0988
tokentriage-minlayer,"entropy=0.10,min=0.72",921,84,22.023,0.0824,0.1129,0.119,0.114,1.24,0.824,0.0909,0.0676-0.1591,0.0925-0.1317
tokentriage-stable,"entropy=0.10,min=0.72",921,84,22.085,0.0798,0.1021,0.0,0.07,1.1838,0.2071,1.0,0.0000-0.0000,0.0518-0.0876
