policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,3783,341,7.0,0.75,0.981,0.9941,0.9851,9.0795,8.1041,,,
fixed-depth,0.50,3783,341,14.0,0.5,0.9614,0.9853,0.9684,7.7352,6.7811,,,
fixed-depth,0.75,3783,341,21.0,0.25,0.8115,0.8446,0.8177,5.3027,3.9239,,,
fixed-depth,1.00,3783,341,28.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,,
stability-oracle,first-final-stable,3783,341,25.453,0.091,0.0,0.0,0.0,0.7407,0.5395,,,
entropy,threshold=0.10,3783,341,17.377,0.3794,0.4978,0.7214,0.5659,5.6892,7.3927,,0.6628-0.7789,0.5453-0.5846
tokentriage-minlayer,"entropy=0.10,min=0.50",3783,341,18.042,0.3556,0.4967,0.7097,0.561,5.4804,5.0768,0.0203,0.6563-0.7729,0.5401-0.5813
tokentriage-stable,"entropy=0.10,min=0.50",3783,341,18.781,0.3292,0.4327,0.0,0.2982,5.0702,0.526,1.0,0.0000-0.0000,0.2822-0.3110
tokentriage-kstable,"entropy=0.10,min=0.50,k=2",3783,341,18.07,0.3546,0.4967,0.7097,0.5611,5.473,4.994,0.0203,0.6540-0.7666,0.5419-0.5792
tokentriage-kstable,"entropy=0.10,min=0.50,k=3",3783,341,18.128,0.3526,0.4927,0.6657,0.5445,5.4531,4.7731,0.0813,0.6086-0.7372,0.5230-0.5650
tokentriage-kstable,"entropy=0.10,min=0.50,k=4",3783,341,18.232,0.3489,0.4856,0.5865,0.5141,5.4058,4.2493,0.1911,0.5266-0.6523,0.4935-0.5369
tokentriage-minlayer,"entropy=0.10,min=0.65",3783,341,18.322,0.3456,0.4948,0.6891,0.5527,5.4211,4.4191,0.0488,0.6295-0.7471,0.5345-0.5708
tokentriage-stable,"entropy=0.10,min=0.65",3783,341,18.782,0.3292,0.4327,0.0,0.2982,5.07,0.5231,1.0,0.0000-0.0000,0.2822-0.3110
tokentriage-kstable,"entropy=0.10,min=0.65,k=2",3783,341,18.376,0.3437,0.4917,0.654,0.5391,5.3795,3.9567,0.0976,0.5949-0.7115,0.5216-0.5588
tokentriage-kstable,"entropy=0.10,min=0.65,k=3",3783,341,18.456,0.3409,0.4824,0.5513,0.5004,5.33,3.408,0.2398,0.5014-0.6122,0.4824-0.5204
tokentriage-kstable,"entropy=0.10,min=0.65,k=4",3783,341,18.539,0.3379,0.4734,0.4516,0.4629,5.2752,2.7998,0.378,0.4029-0.5096,0.4461-0.4834
tokentriage-minlayer,"entropy=0.10,min=0.72",3783,341,18.437,0.3415,0.489,0.6246,0.5271,5.2986,3.0599,0.1382,0.5629-0.6741,0.5059-0.5449
tokentriage-stable,"entropy=0.10,min=0.72",3783,341,18.79,0.3289,0.4327,0.0,0.2982,5.0683,0.5048,1.0,0.0000-0.0000,0.2822-0.3110
tokentriage-kstable,"entropy=0.10,min=0.72,k=2",3783,341,18.494,0.3395,0.4856,0.5865,0.5125,5.2825,2.8815,0.1911,0.5344-0.6332,0.4964-0.5285
tokentriage-kstable,"entropy=0.10,min=0.72,k=3",3783,341,18.584,0.3363,0.475,0.4692,0.4691,5.2369,2.3749,0.3537,0.4201-0.5253,0.4484-0.4869
tokentriage-kstable,"entropy=0.10,min=0.72,k=4",3783,341,18.662,0.3335,0.4642,0.349,0.4247,5.1879,1.8315,0.5203,0.2995-0.4006,0.4042-0.4413
tokentriage-minlayer,"entropy=0.10,min=0.85",3783,341,18.623,0.3349,0.4872,0.6041,0.5201,5.2525,2.5483,0.1789,0.5472-0.6599,0.4983-0.5404
tokentriage-stable,"entropy=0.10,min=0.85",3783,341,18.814,0.3281,0.4327,0.0,0.2982,5.0675,0.4961,1.0,0.0000-0.0000,0.2822-0.3110
tokentriage-kstable,"entropy=0.10,min=0.85,k=2",3783,341,18.67,0.3332,0.4808,0.5337,0.4932,5.2332,2.3335,0.2642,0.4886-0.5886,0.4758-0.5111
tokentriage-kstable,"entropy=0.10,min=0.85,k=3",3783,341,18.741,0.3307,0.465,0.3578,0.4281,5.1659,1.587,0.5081,0.3127-0.4116,0.4082-0.4479
tokentriage-kstable,"entropy=0.10,min=0.85,k=4",3783,341,18.779,0.3293,0.4557,0.2551,0.3902,5.1208,1.0871,0.6504,0.2143-0.2933,0.3713-0.4089
entropy,threshold=0.15,3783,341,14.036,0.4987,0.6677,0.8622,0.7281,7.1603,8.6544,,0.8229-0.9019,0.7130-0.7461
tokentriage-minlayer,"entropy=0.15,min=0.50",3783,341,14.852,0.4696,0.6667,0.8504,0.7232,6.9195,5.9837,0.017,0.8146-0.8939,0.7080-0.7412
tokentriage-stable,"entropy=0.15,min=0.50",3783,341,15.741,0.4378,0.59,0.0,0.4066,6.4301,0.5541,1.0,0.0000-0.0000,0.3878-0.4262
tokentriage-kstable,"entropy=0.15,min=0.50,k=2",3783,341,14.89,0.4682,0.6667,0.8504,0.7233,6.912,5.9,0.017,0.8168-0.8910,0.7091-0.7421
tokentriage-kstable,"entropy=0.15,min=0.50,k=3",3783,341,14.96,0.4657,0.6622,0.8006,0.7041,6.8847,5.5966,0.0748,0.7624-0.8475,0.6878-0.7228
tokentriage-kstable,"entropy=0.15,min=0.50,k=4",3783,341,15.106,0.4605,0.6508,0.6745,0.6557,6.8071,4.7363,0.2211,0.6254-0.7331,0.6385-0.6828
tokentriage-minlayer,"entropy=0.15,min=0.65",3783,341,15.197,0.4572,0.6643,0.824,0.7126,6.8497,5.2091,0.0476,0.7847-0.8604,0.6983-0.7293
tokentriage-stable,"entropy=0.15,min=0.65",3783,341,15.743,0.4378,0.59,0.0,0.4066,6.4299,0.5512,1.0,0.0000-0.0000,0.3878-0.4262
tokentriage-kstable,"entropy=0.15,min=0.65,k=2",3783,341,15.274,0.4545,0.6587,0.7625,0.6884,6.7835,4.474,0.119,0.7150-0.8114,0.6709-0.7092
tokentriage-kstable,"entropy=0.15,min=0.65,k=3",3783,341,15.379,0.4508,0.6466,0.6276,0.6372,6.7149,3.7129,0.2755,0.5784-0.6828,0.6184-0.6637
tokentriage-kstable,"entropy=0.15,min=0.65,k=4",3783,341,15.484,0.447,0.6344,0.4927,0.5866,6.647,2.9604,0.432,0.4465-0.5559,0.5665-0.6156
tokentriage-minlayer,"entropy=0.15,min=0.72",3783,341,15.337,0.4522,0.6558,0.7302,0.6751,6.6954,3.4966,0.1565,0.6806-0.7788,0.6565-0.6932
tokentriage-stable,"entropy=0.15,min=0.72",3783,341,15.751,0.4375,0.59,0.0,0.4066,6.4278,0.528,1.0,0.0000-0.0000,0.3878-0.4262
tokentriage-kstable,"entropy=0.15,min=0.72,k=2",3783,341,15.411,0.4496,0.6511,0.6774,0.6549,6.6728,3.2463,0.2177,0.6323-0.7220,0.6367-0.6722
tokentriage-kstable,"entropy=0.15,min=0.72,k=3",3783,341,15.52,0.4457,0.6381,0.5337,0.6015,6.615,2.6054,0.3844,0.4822-0.5815,0.5850-0.6251
tokentriage-kstable,"entropy=0.15,min=0.72,k=4",3783,341,15.623,0.442,0.6236,0.3724,0.542,6.5521,1.9068,0.5714,0.3229-0.4268,0.5202-0.5676
tokentriage-minlayer,"entropy=0.15,min=0.85",3783,341,15.559,0.4443,0.6529,0.6979,0.6639,6.6385,2.8657,0.2007,0.6431-0.7577,0.6401-0.6881
tokentriage-stable,"entropy=0.15,min=0.85",3783,341,15.777,0.4365,0.59,0.0,0.4066,6.4285,0.5362,1.0,0.0000-0.0000,0.3878-0.4262
tokentriage-kstable,"entropy=0.15,min=0.85,k=2",3783,341,15.616,0.4423,0.645,0.61,0.6302,6.6146,2.6008,0.2959,0.5582-0.6640,0.6083-0.6524
tokentriage-kstable,"entropy=0.15,min=0.85,k=3",3783,341,15.7,0.4393,0.6254,0.393,0.5495,6.5336,1.7016,0.5476,0.3474-0.4381,0.5270-0.5754
tokentriage-kstable,"entropy=0.15,min=0.85,k=4",3783,341,15.744,0.4377,0.6146,0.2727,0.5053,6.4813,1.1217,0.6871,0.2310-0.3185,0.4834-0.5292
entropy,threshold=0.20,3783,341,11.768,0.5797,0.77,0.915,0.8149,8.0737,9.195,,0.8901-0.9396,0.8019-0.8273
tokentriage-minlayer,"entropy=0.20,min=0.50",3783,341,12.675,0.5473,0.769,0.9032,0.81,7.8171,6.3484,0.016,0.8757-0.9313,0.7985-0.8223
tokentriage-stable,"entropy=0.20,min=0.50",3783,341,13.632,0.5131,0.6875,0.0,0.4738,7.2925,0.5282,1.0,0.0000-0.0000,0.4521-0.4970
tokentriage-kstable,"entropy=0.20,min=0.50,k=2",3783,341,12.716,0.5459,0.769,0.9032,0.8103,7.8122,6.2934,0.016,0.8781-0.9313,0.7989-0.8235
tokentriage-kstable,"entropy=0.20,min=0.50,k=3",3783,341,12.79,0.5432,0.765,0.8592,0.7937,7.7811,5.9482,0.0641,0.8277-0.8930,0.7811-0.8078
tokentriage-kstable,"entropy=0.20,min=0.50,k=4",3783,341,12.947,0.5376,0.7531,0.7273,0.743,7.6968,5.0136,0.2083,0.6809-0.7917,0.7260-0.7692
tokentriage-minlayer,"entropy=0.20,min=0.65",3783,341,13.048,0.534,0.7666,0.8768,0.7994,7.7426,5.5218,0.0449,0.8482-0.9058,0.7877-0.8107
tokentriage-stable,"entropy=0.20,min=0.65",3783,341,13.633,0.5131,0.6875,0.0,0.4738,7.2922,0.5253,1.0,0.0000-0.0000,0.4521-0.4970
tokentriage-kstable,"entropy=0.20,min=0.65,k=2",3783,341,13.135,0.5309,0.7608,0.8123,0.7743,7.6698,4.7142,0.1154,0.7768-0.8541,0.7612-0.7928
tokentriage-kstable,"entropy=0.20,min=0.65,k=3",3783,341,13.25,0.5268,0.7481,0.6716,0.7213,7.593,3.862,0.2692,0.6287-0.7235,0.7041-0.7430
tokentriage-kstable,"entropy=0.20,min=0.65,k=4",3783,341,13.362,0.5228,0.7343,0.5191,0.6639,7.5196,3.0481,0.4359,0.4718-0.5749,0.6440-0.6937
tokentriage-minlayer,"entropy=0.20,min=0.72",3783,341,13.2,0.5286,0.7579,0.7801,0.7608,7.5791,3.7076,0.1506,0.7365-0.8155,0.7459-0.7760
tokentriage-stable,"entropy=0.20,min=0.72",3783,341,13.642,0.5128,0.6875,0.0,0.4738,7.2905,0.5065,1.0,0.0000-0.0000,0.4521-0.4970
tokentriage-kstable,"entropy=0.20,min=0.72,k=2",3783,341,13.28,0.5257,0.7528,0.7243,0.7397,7.5551,3.4416,0.2115,0.6764-0.7660,0.7222-0.7565
tokentriage-kstable,"entropy=0.20,min=0.72,k=3",3783,341,13.4,0.5214,0.7388,0.5689,0.682,7.4903,2.7227,0.3814,0.5210-0.6154,0.6641-0.7015
tokentriage-kstable,"entropy=0.20,min=0.72,k=4",3783,341,13.511,0.5174,0.7227,0.39,0.6156,7.4208,1.9513,0.5769,0.3400-0.4424,0.5922-0.6408
tokentriage-minlayer,"entropy=0.20,min=0.85",3783,341,13.436,0.5201,0.755,0.7478,0.7495,7.521,3.0635,0.1923,0.6946-0.8000,0.7296-0.7693
tokentriage-stable,"entropy=0.20,min=0.85",3783,341,13.669,0.5118,0.6875,0.0,0.4738,7.2932,0.5355,1.0,0.0000-0.0000,0.4521-0.4970
tokentriage-kstable,"entropy=0.20,min=0.85,k=2",3783,341,13.497,0.5179,0.746,0.6481,0.7118,7.4937,2.7606,0.2949,0.5989-0.6954,0.6931-0.7313
tokentriage-kstable,"entropy=0.20,min=0.85,k=3",3783,341,13.587,0.5148,0.7254,0.4194,0.6266,7.4064,1.7921,0.5449,0.3761-0.4671,0.6045-0.6519
tokentriage-kstable,"entropy=0.20,min=0.85,k=4",3783,341,13.635,0.513,0.7135,0.2874,0.5779,7.3492,1.1568,0.6891,0.2473-0.3333,0.5538-0.6010
entropy,threshold=0.30,3783,341,8.089,0.7111,0.8935,0.9384,0.9066,9.4013,9.2249,,0.9154-0.9602,0.8951-0.9176
tokentriage-minlayer,"entropy=0.30,min=0.50",3783,341,9.092,0.6753,0.8943,0.9472,0.91,9.1627,6.5786,0.0156,0.9231-0.9700,0.8998-0.9211
tokentriage-stable,"entropy=0.30,min=0.50",3783,341,10.114,0.6388,0.8089,0.0,0.5574,8.6187,0.5431,1.0,0.0000-0.0000,0.5352-0.5828
tokentriage-kstable,"entropy=0.30,min=0.50,k=2",3783,341,9.133,0.6738,0.8943,0.9472,0.9102,9.1619,6.5698,0.0156,0.9239-0.9699,0.9001-0.9207
tokentriage-kstable,"entropy=0.30,min=0.50,k=3",3783,341,9.219,0.6707,0.8914,0.915,0.8977,9.1259,6.1704,0.0469,0.8883-0.9456,0.8864-0.9100
tokentriage-kstable,"entropy=0.30,min=0.50,k=4",3783,341,9.391,0.6646,0.8781,0.7683,0.8416,9.0337,5.1473,0.2,0.7228-0.8232,0.8244-0.8628
tokentriage-minlayer,"entropy=0.30,min=0.65",3783,341,9.495,0.6609,0.8914,0.915,0.897,9.0792,5.6518,0.0469,0.8839-0.9416,0.8839-0.9105
tokentriage-stable,"entropy=0.30,min=0.65",3783,341,10.116,0.6387,0.8089,0.0,0.5574,8.6184,0.5401,1.0,0.0000-0.0000,0.5352-0.5828
tokentriage-kstable,"entropy=0.30,min=0.65,k=2",3783,341,9.584,0.6577,0.885,0.8446,0.8697,9.015,4.9401,0.1156,0.8092-0.8846,0.8561-0.8861
tokentriage-kstable,"entropy=0.30,min=0.65,k=3",3783,341,9.709,0.6533,0.8729,0.7097,0.8187,8.9316,4.0151,0.2562,0.6698-0.7649,0.8027-0.8410
tokentriage-kstable,"entropy=0.30,min=0.65,k=4",3783,341,9.827,0.649,0.8583,0.5484,0.7582,8.8533,3.1461,0.4281,0.5013-0.6075,0.7376-0.7823
tokentriage-minlayer,"entropy=0.30,min=0.72",3783,341,9.658,0.6551,0.8821,0.8123,0.8562,8.9151,3.8312,0.1406,0.7706-0.8494,0.8375-0.8703
tokentriage-stable,"entropy=0.30,min=0.72",3783,341,10.125,0.6384,0.8089,0.0,0.5574,8.6165,0.5192,1.0,0.0000-0.0000,0.5352-0.5828
tokentriage-kstable,"entropy=0.30,min=0.72,k=2",3783,341,9.741,0.6521,0.8771,0.7566,0.8351,8.8963,3.623,0.1969,0.7135-0.7960,0.8197-0.8507
