policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,3783,341,7.0,0.75,0.981,0.9941,0.9851,9.0795,8.1041,,,
fixed-depth,0.50,3783,341,14.0,0.5,0.9614,0.9853,0.9684,7.7352,6.7811,,,
fixed-depth,0.75,3783,341,21.0,0.25,0.8115,0.8446,0.8177,5.3027,3.9239,,,
fixed-depth,1.00,3783,341,28.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,,
stability-oracle,first-final-stable,3783,341,25.453,0.091,0.0,0.0,0.0,0.7407,0.5395,,,
entropy,threshold=0.10,3783,341,17.377,0.3794,0.4978,0.7214,0.5659,5.6892,7.3927,,0.6628-0.7789,0.5453-0.5846
tokentriage-minlayer,"entropy=0.10,min=0.50",3783,341,18.042,0.3556,0.4967,0.7097,0.561,5.4804,5.0768,0.0203,0.6563-0.7729,0.5401-0.5813
tokentriage-stable,"entropy=0.10,min=0.50",3783,341,18.781,0.3292,0.4327,0.0,0.2982,5.0702,0.526,1.0,0.0000-0.0000,0.2822-0.3110
tokentriage-minlayer,"entropy=0.10,min=0.65",3783,341,18.322,0.3456,0.4948,0.6891,0.5527,5.4211,4.4191,0.0488,0.6295-0.7471,0.5345-0.5708
tokentriage-stable,"entropy=0.10,min=0.65",3783,341,18.782,0.3292,0.4327,0.0,0.2982,5.07,0.5231,1.0,0.0000-0.0000,0.2822-0.3110
tokentriage-minlayer,"entropy=0.10,min=0.72",3783,341,18.437,0.3415,0.489,0.6246,0.5271,5.2986,3.0599,0.1382,0.5629-0.6741,0.5059-0.5449
tokentriage-stable,"entropy=0.10,min=0.72",3783,341,18.79,0.3289,0.4327,0.0,0.2982,5.0683,0.5048,1.0,0.0000-0.0000,0.2822-0.3110
tokentriage-minlayer,"entropy=0.10,min=0.85",3783,341,18.623,0.3349,0.4872,0.6041,0.5201,5.2525,2.5483,0.1789,0.5472-0.6599,0.4983-0.5404
tokentriage-stable,"entropy=0.10,min=0.85",3783,341,18.814,0.3281,0.4327,0.0,0.2982,5.0675,0.4961,1.0,0.0000-0.0000,0.2822-0.3110
entropy,threshold=0.15,3783,341,14.036,0.4987,0.6677,0.8622,0.7281,7.1603,8.6544,,0.8229-0.9019,0.7130-0.7461
tokentriage-minlayer,"entropy=0.15,min=0.50",3783,341,14.852,0.4696,0.6667,0.8504,0.7232,6.9195,5.9837,0.017,0.8146-0.8939,0.7080-0.7412
tokentriage-stable,"entropy=0.15,min=0.50",3783,341,15.741,0.4378,0.59,0.0,0.4066,6.4301,0.5541,1.0,0.0000-0.0000,0.3878-0.4262
tokentriage-minlayer,"entropy=0.15,min=0.65",3783,341,15.197,0.4572,0.6643,0.824,0.7126,6.8497,5.2091,0.0476,0.7847-0.8604,0.6983-0.7293
tokentriage-stable,"entropy=0.15,min=0.65",3783,341,15.743,0.4378,0.59,0.0,0.4066,6.4299,0.5512,1.0,0.0000-0.0000,0.3878-0.4262
tokentriage-minlayer,"entropy=0.15,min=0.72",3783,341,15.337,0.4522,0.6558,0.7302,0.6751,6.6954,3.4966,0.1565,0.6806-0.7788,0.6565-0.6932
tokentriage-stable,"entropy=0.15,min=0.72",3783,341,15.751,0.4375,0.59,0.0,0.4066,6.4278,0.528,1.0,0.0000-0.0000,0.3878-0.4262
tokentriage-minlayer,"entropy=0.15,min=0.85",3783,341,15.559,0.4443,0.6529,0.6979,0.6639,6.6385,2.8657,0.2007,0.6431-0.7577,0.6401-0.6881
tokentriage-stable,"entropy=0.15,min=0.85",3783,341,15.777,0.4365,0.59,0.0,0.4066,6.4285,0.5362,1.0,0.0000-0.0000,0.3878-0.4262
entropy,threshold=0.20,3783,341,11.768,0.5797,0.77,0.915,0.8149,8.0737,9.195,,0.8901-0.9396,0.8019-0.8273
tokentriage-minlayer,"entropy=0.20,min=0.50",3783,341,12.675,0.5473,0.769,0.9032,0.81,7.8171,6.3484,0.016,0.8757-0.9313,0.7985-0.8223
tokentriage-stable,"entropy=0.20,min=0.50",3783,341,13.632,0.5131,0.6875,0.0,0.4738,7.2925,0.5282,1.0,0.0000-0.0000,0.4521-0.4970
tokentriage-minlayer,"entropy=0.20,min=0.65",3783,341,13.048,0.534,0.7666,0.8768,0.7994,7.7426,5.5218,0.0449,0.8482-0.9058,0.7877-0.8107
tokentriage-stable,"entropy=0.20,min=0.65",3783,341,13.633,0.5131,0.6875,0.0,0.4738,7.2922,0.5253,1.0,0.0000-0.0000,0.4521-0.4970
tokentriage-minlayer,"entropy=0.20,min=0.72",3783,341,13.2,0.5286,0.7579,0.7801,0.7608,7.5791,3.7076,0.1506,0.7365-0.8155,0.7459-0.7760
tokentriage-stable,"entropy=0.20,min=0.72",3783,341,13.642,0.5128,0.6875,0.0,0.4738,7.2905,0.5065,1.0,0.0000-0.0000,0.4521-0.4970
tokentriage-minlayer,"entropy=0.20,min=0.85",3783,341,13.436,0.5201,0.755,0.7478,0.7495,7.521,3.0635,0.1923,0.6946-0.8000,0.7296-0.7693
tokentriage-stable,"entropy=0.20,min=0.85",3783,341,13.669,0.5118,0.6875,0.0,0.4738,7.2932,0.5355,1.0,0.0000-0.0000,0.4521-0.4970
entropy,threshold=0.30,3783,341,8.089,0.7111,0.8935,0.9384,0.9066,9.4013,9.2249,,0.9154-0.9602,0.8951-0.9176
tokentriage-minlayer,"entropy=0.30,min=0.50",3783,341,9.092,0.6753,0.8943,0.9472,0.91,9.1627,6.5786,0.0156,0.9231-0.9700,0.8998-0.9211
tokentriage-stable,"entropy=0.30,min=0.50",3783,341,10.114,0.6388,0.8089,0.0,0.5574,8.6187,0.5431,1.0,0.0000-0.0000,0.5352-0.5828
tokentriage-minlayer,"entropy=0.30,min=0.65",3783,341,9.495,0.6609,0.8914,0.915,0.897,9.0792,5.6518,0.0469,0.8839-0.9416,0.8839-0.9105
tokentriage-stable,"entropy=0.30,min=0.65",3783,341,10.116,0.6387,0.8089,0.0,0.5574,8.6184,0.5401,1.0,0.0000-0.0000,0.5352-0.5828
tokentriage-minlayer,"entropy=0.30,min=0.72",3783,341,9.658,0.6551,0.8821,0.8123,0.8562,8.9151,3.8312,0.1406,0.7706-0.8494,0.8375-0.8703
tokentriage-stable,"entropy=0.30,min=0.72",3783,341,10.125,0.6384,0.8089,0.0,0.5574,8.6165,0.5192,1.0,0.0000-0.0000,0.5352-0.5828
tokentriage-minlayer,"entropy=0.30,min=0.85",3783,341,9.91,0.6461,0.8789,0.7771,0.8438,8.857,3.1865,0.1812,0.7238-0.8307,0.8237-0.8666
tokentriage-stable,"entropy=0.30,min=0.85",3783,341,10.152,0.6374,0.8089,0.0,0.5574,8.6194,0.5508,1.0,0.0000-0.0000,0.5352-0.5828
entropy,threshold=0.42,3783,341,4.17,0.8511,0.9601,0.9707,0.9628,10.556,9.2332,,0.9525-0.9883,0.9550-0.9715
tokentriage-minlayer,"entropy=0.42,min=0.50",3783,341,5.254,0.8124,0.9609,0.9795,0.9662,10.3302,6.7281,0.0151,0.9624-0.9943,0.9575-0.9741
tokentriage-stable,"entropy=0.42,min=0.50",3783,341,6.326,0.7741,0.8726,0.0,0.6013,9.7724,0.5395,1.0,0.0000-0.0000,0.5769-0.6268
tokentriage-minlayer,"entropy=0.42,min=0.65",3783,341,5.681,0.7971,0.9577,0.9443,0.952,10.2434,5.7653,0.0483,0.9130-0.9662,0.9397-0.9620
tokentriage-stable,"entropy=0.42,min=0.65",3783,341,6.327,0.774,0.8726,0.0,0.6013,9.7721,0.5365,1.0,0.0000-0.0000,0.5769-0.6268
tokentriage-minlayer,"entropy=0.42,min=0.72",3783,341,5.854,0.7909,0.9482,0.8387,0.91,10.0747,3.8936,0.142,0.7987-0.8706,0.8939-0.9236
tokentriage-stable,"entropy=0.42,min=0.72",3783,341,6.336,0.7737,0.8726,0.0,0.6013,9.7702,0.5156,1.0,0.0000-0.0000,0.5769-0.6268
tokentriage-minlayer,"entropy=0.42,min=0.85",3783,341,6.118,0.7815,0.9437,0.7889,0.8922,10.0113,3.1908,0.1903,0.7395-0.8424,0.8718-0.9139
tokentriage-stable,"entropy=0.42,min=0.85",3783,341,6.364,0.7727,0.8726,0.0,0.6013,9.7732,0.549,1.0,0.0000-0.0000,0.5769-0.6268
entropy,threshold=0.55,3783,341,1.426,0.9491,0.9812,0.9736,0.9781,11.187,9.3779,,0.9564-0.9887,0.9699-0.9846
tokentriage-minlayer,"entropy=0.55,min=0.50",3783,341,2.588,0.9076,0.9823,0.9853,0.9828,10.9538,6.7911,0.0151,0.9694-1.0000,0.9764-0.9886
tokentriage-stable,"entropy=0.55,min=0.50",3783,341,3.697,0.868,0.8935,0.0,0.6157,10.3903,0.5395,1.0,0.0000-0.0000,0.5928-0.6420
tokentriage-minlayer,"entropy=0.55,min=0.65",3783,341,3.037,0.8915,0.9791,0.9501,0.9686,10.8656,5.8121,0.0482,0.9164-0.9718,0.9564-0.9768
tokentriage-stable,"entropy=0.55,min=0.65",3783,341,3.698,0.8679,0.8935,0.0,0.6157,10.39,0.5365,1.0,0.0000-0.0000,0.5928-0.6420
tokentriage-minlayer,"entropy=0.55,min=0.72",3783,341,3.217,0.8851,0.9696,0.8446,0.9266,10.6954,3.9239,0.1416,0.8045-0.8747,0.9109-0.9390
tokentriage-stable,"entropy=0.55,min=0.72",3783,341,3.708,0.8676,0.8935,0.0,0.6157,10.3881,0.5156,1.0,0.0000-0.0000,0.5928-0.6420
tokentriage-minlayer,"entropy=0.55,min=0.85",3783,341,3.487,0.8754,0.9651,0.7947,0.9087,10.63,3.1989,0.1898,0.7471-0.8481,0.8908-0.9308
tokentriage-stable,"entropy=0.55,min=0.85",3783,341,3.735,0.8666,0.8935,0.0,0.6157,10.3912,0.549,1.0,0.0000-0.0000,0.5928-0.6420
margin,threshold=0.05,3783,341,1.627,0.9419,0.9802,0.9736,0.9775,11.0762,9.3085,,0.9561-0.9889,0.9694-0.9844
margin,threshold=0.10,3783,341,2.483,0.9113,0.9759,0.9707,0.9737,10.7685,9.2752,,0.9525-0.9883,0.9660-0.9807
margin,threshold=0.20,3783,341,4.603,0.8356,0.9482,0.9677,0.9536,10.2512,9.323,,0.9463-0.9839,0.9439-0.9614
margin,threshold=0.35,3783,341,8.234,0.7059,0.8721,0.9267,0.8884,9.4253,9.116,,0.9000-0.9513,0.8765-0.8974
margin,threshold=0.50,3783,341,11.925,0.5741,0.7446,0.8768,0.7857,8.1386,8.9037,,0.8387-0.9156,0.7724-0.8026
