policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,3783,341,7.0,0.75,0.981,0.9941,0.9851,9.0795,8.1041,,,
fixed-depth,0.50,3783,341,14.0,0.5,0.9614,0.9853,0.9684,7.7352,6.7811,,,
fixed-depth,0.75,3783,341,21.0,0.25,0.8115,0.8446,0.8177,5.3027,3.9239,,,
fixed-depth,1.00,3783,341,28.0,0.0,0.4684,0.6158,0.5135,1.0543,0.6859,,,
stability-oracle,first-final-stable,3783,341,26.543,0.052,0.4684,0.6158,0.5135,1.2475,0.7598,,,
entropy,threshold=0.10,3783,341,17.377,0.3794,0.6328,0.827,0.6917,5.9534,7.5964,,0.7841-0.8696,0.6745-0.7120
tokentriage-minlayer,"entropy=0.10,min=0.50",3783,341,18.042,0.3556,0.6318,0.8152,0.6868,5.7446,5.2805,0.0177,0.7672-0.8607,0.6693-0.7075
tokentriage-stable,"entropy=0.10,min=0.50",3783,341,18.859,0.3265,0.6138,0.6158,0.6136,5.3393,0.7838,0.3191,0.5614-0.6779,0.5905-0.6396
tokentriage-minlayer,"entropy=0.10,min=0.65",3783,341,18.322,0.3456,0.6299,0.7947,0.6784,5.6853,4.6228,0.0426,0.7453-0.8403,0.6572-0.6976
tokentriage-stable,"entropy=0.10,min=0.65",3783,341,18.859,0.3265,0.6138,0.6158,0.6136,5.3391,0.7819,0.3191,0.5614-0.6779,0.5905-0.6396
tokentriage-minlayer,"entropy=0.10,min=0.72",3783,341,18.437,0.3415,0.6241,0.7302,0.6528,5.5628,3.2636,0.1206,0.6900-0.7676,0.6338-0.6711
tokentriage-stable,"entropy=0.10,min=0.72",3783,341,18.861,0.3264,0.6138,0.6158,0.6136,5.3389,0.7801,0.3191,0.5614-0.6779,0.5905-0.6396
tokentriage-minlayer,"entropy=0.10,min=0.85",3783,341,18.623,0.3349,0.6223,0.7097,0.6458,5.5167,2.752,0.156,0.6544-0.7629,0.6244-0.6684
tokentriage-stable,"entropy=0.10,min=0.85",3783,341,18.871,0.326,0.6138,0.6158,0.6136,5.3388,0.7789,0.3191,0.5614-0.6779,0.5905-0.6396
entropy,threshold=0.15,3783,341,14.036,0.4987,0.7404,0.912,0.7936,7.2987,8.7775,,0.8856-0.9370,0.7813-0.8049
tokentriage-minlayer,"entropy=0.15,min=0.50",3783,341,14.852,0.4696,0.7394,0.9003,0.7887,7.058,6.1069,0.0161,0.8775-0.9297,0.7772-0.8032
tokentriage-stable,"entropy=0.15,min=0.50",3783,341,15.827,0.4348,0.7137,0.6158,0.6825,6.5781,0.7833,0.3633,0.5614-0.6779,0.6589-0.7075
tokentriage-minlayer,"entropy=0.15,min=0.65",3783,341,15.197,0.4572,0.737,0.8739,0.7781,6.9882,5.3323,0.045,0.8478-0.8994,0.7666-0.7908
tokentriage-stable,"entropy=0.15,min=0.65",3783,341,15.827,0.4347,0.7137,0.6158,0.6825,6.578,0.7814,0.3633,0.5614-0.6779,0.6589-0.7075
tokentriage-minlayer,"entropy=0.15,min=0.72",3783,341,15.337,0.4522,0.7285,0.7801,0.7407,6.8338,3.6197,0.1479,0.7456-0.8150,0.7237-0.7559
tokentriage-stable,"entropy=0.15,min=0.72",3783,341,15.83,0.4347,0.7137,0.6158,0.6825,6.5773,0.7747,0.3633,0.5614-0.6779,0.6589-0.7075
tokentriage-minlayer,"entropy=0.15,min=0.85",3783,341,15.559,0.4443,0.7256,0.7478,0.7294,6.7769,2.9889,0.1897,0.6997-0.7989,0.7075-0.7519
tokentriage-stable,"entropy=0.15,min=0.85",3783,341,15.841,0.4343,0.7137,0.6158,0.6825,6.5784,0.7869,0.3633,0.5614-0.6779,0.6589-0.7075
entropy,threshold=0.20,3783,341,11.768,0.5797,0.8121,0.9384,0.8509,8.1525,9.2738,,0.9192-0.9582,0.8419-0.8604
tokentriage-minlayer,"entropy=0.20,min=0.50",3783,341,12.675,0.5473,0.811,0.9267,0.846,7.8959,6.4272,0.0156,0.9097-0.9483,0.8372-0.8565
tokentriage-stable,"entropy=0.20,min=0.50",3783,341,13.721,0.51,0.783,0.6158,0.7302,7.3864,0.7755,0.3719,0.5614-0.6779,0.7061-0.7539
tokentriage-minlayer,"entropy=0.20,min=0.65",3783,341,13.048,0.534,0.8086,0.9003,0.8355,7.8214,5.6005,0.0437,0.8729-0.9262,0.8230-0.8468
tokentriage-stable,"entropy=0.20,min=0.65",3783,341,13.721,0.51,0.783,0.6158,0.7302,7.3863,0.7737,0.3719,0.5614-0.6779,0.7061-0.7539
tokentriage-minlayer,"entropy=0.20,min=0.72",3783,341,13.2,0.5286,0.7999,0.8035,0.7968,7.6578,3.7863,0.1469,0.7645-0.8367,0.7802-0.8107
tokentriage-stable,"entropy=0.20,min=0.72",3783,341,13.723,0.5099,0.783,0.6158,0.7302,7.3857,0.7669,0.3719,0.5614-0.6779,0.7061-0.7539
tokentriage-minlayer,"entropy=0.20,min=0.85",3783,341,13.436,0.5201,0.797,0.7713,0.7855,7.5998,3.1423,0.1875,0.7261-0.8214,0.7661-0.8040
tokentriage-stable,"entropy=0.20,min=0.85",3783,341,13.735,0.5095,0.783,0.6158,0.7302,7.3868,0.7791,0.3719,0.5614-0.6779,0.7061-0.7539
entropy,threshold=0.30,3783,341,8.089,0.7111,0.9059,0.9472,0.9178,9.4167,9.2505,,0.9267-0.9690,0.9062-0.9293
tokentriage-minlayer,"entropy=0.30,min=0.50",3783,341,9.092,0.6753,0.9067,0.956,0.9213,9.1782,6.6041,0.0155,0.9326-0.9779,0.9107-0.9322
tokentriage-stable,"entropy=0.30,min=0.50",3783,341,10.205,0.6355,0.876,0.6158,0.7943,8.6517,0.7634,0.3715,0.5614-0.6779,0.7688-0.8215
tokentriage-minlayer,"entropy=0.30,min=0.65",3783,341,9.495,0.6609,0.9038,0.9238,0.9083,9.0947,5.6774,0.0464,0.8914-0.9511,0.8947-0.9224
tokentriage-stable,"entropy=0.30,min=0.65",3783,341,10.205,0.6355,0.876,0.6158,0.7943,8.6516,0.7615,0.3715,0.5614-0.6779,0.7688-0.8215
tokentriage-minlayer,"entropy=0.30,min=0.72",3783,341,9.658,0.6551,0.8945,0.8211,0.8675,8.9306,3.8568,0.1393,0.7809-0.8553,0.8505-0.8818
tokentriage-stable,"entropy=0.30,min=0.72",3783,341,10.208,0.6354,0.876,0.6158,0.7943,8.6509,0.7548,0.3715,0.5614-0.6779,0.7688-0.8215
tokentriage-minlayer,"entropy=0.30,min=0.85",3783,341,9.91,0.6461,0.8914,0.7859,0.8551,8.8724,3.2121,0.1796,0.7340-0.8403,0.8357-0.8767
tokentriage-stable,"entropy=0.30,min=0.85",3783,341,10.219,0.635,0.876,0.6158,0.7943,8.652,0.767,0.3715,0.5614-0.6779,0.7688-0.8215
entropy,threshold=0.42,3783,341,4.17,0.8511,0.9635,0.9765,0.9669,10.5615,9.2541,,0.9604-0.9906,0.9594-0.9750
tokentriage-minlayer,"entropy=0.42,min=0.50",3783,341,5.254,0.8124,0.9643,0.9853,0.9704,10.3357,6.749,0.015,0.9694-1.0000,0.9631-0.9781
tokentriage-stable,"entropy=0.42,min=0.50",3783,341,6.417,0.7708,0.931,0.6158,0.8322,9.7958,0.7598,0.3724,0.5614-0.6779,0.8077-0.8587
tokentriage-minlayer,"entropy=0.42,min=0.65",3783,341,5.681,0.7971,0.9611,0.9501,0.9562,10.2489,5.7862,0.048,0.9164-0.9718,0.9437-0.9673
tokentriage-stable,"entropy=0.42,min=0.65",3783,341,6.418,0.7708,0.931,0.6158,0.8322,9.7957,0.7579,0.3724,0.5614-0.6779,0.8077-0.8587
tokentriage-minlayer,"entropy=0.42,min=0.72",3783,341,5.854,0.7909,0.9516,0.8446,0.9142,10.0802,3.9146,0.1411,0.8045-0.8747,0.8979-0.9269
tokentriage-stable,"entropy=0.42,min=0.72",3783,341,6.42,0.7707,0.931,0.6158,0.8322,9.7951,0.7512,0.3724,0.5614-0.6779,0.8077-0.8587
tokentriage-minlayer,"entropy=0.42,min=0.85",3783,341,6.118,0.7815,0.9471,0.7947,0.8963,10.0168,3.2117,0.1892,0.7471-0.8481,0.8762-0.9208
tokentriage-stable,"entropy=0.42,min=0.85",3783,341,6.431,0.7703,0.931,0.6158,0.8322,9.7962,0.7634,0.3724,0.5614-0.6779,0.8077-0.8587
entropy,threshold=0.55,3783,341,1.426,0.9491,0.9815,0.9736,0.9783,11.1873,9.3779,,0.9564-0.9887,0.9703-0.9847
tokentriage-minlayer,"entropy=0.55,min=0.50",3783,341,2.588,0.9076,0.9826,0.9853,0.9829,10.9541,6.7911,0.0151,0.9694-1.0000,0.9764-0.9889
tokentriage-stable,"entropy=0.55,min=0.50",3783,341,3.789,0.8647,0.9492,0.6158,0.8448,10.4104,0.7598,0.3705,0.5614-0.6779,0.8208-0.8721
tokentriage-minlayer,"entropy=0.55,min=0.65",3783,341,3.037,0.8915,0.9794,0.9501,0.9688,10.8658,5.8121,0.0482,0.9164-0.9718,0.9564-0.9774
tokentriage-stable,"entropy=0.55,min=0.65",3783,341,3.789,0.8647,0.9492,0.6158,0.8448,10.4103,0.7579,0.3705,0.5614-0.6779,0.8208-0.8721
tokentriage-minlayer,"entropy=0.55,min=0.72",3783,341,3.217,0.8851,0.9699,0.8446,0.9268,10.6956,3.9239,0.1416,0.8045-0.8747,0.9109-0.9394
tokentriage-stable,"entropy=0.55,min=0.72",3783,341,3.791,0.8646,0.9492,0.6158,0.8448,10.4096,0.7512,0.3705,0.5614-0.6779,0.8208-0.8721
tokentriage-minlayer,"entropy=0.55,min=0.85",3783,341,3.487,0.8754,0.9654,0.7947,0.9089,10.6303,3.1989,0.1898,0.7471-0.8481,0.8908-0.9310
tokentriage-stable,"entropy=0.55,min=0.85",3783,341,3.803,0.8642,0.9492,0.6158,0.8448,10.4107,0.7634,0.3705,0.5614-0.6779,0.8208-0.8721
margin,threshold=0.05,3783,341,1.627,0.9419,0.9812,0.9765,0.9791,11.0771,9.3074,,0.9604-0.9906,0.9715-0.9858
margin,threshold=0.10,3783,341,2.483,0.9113,0.9783,0.9765,0.9771,10.7737,9.2961,,0.9604-0.9906,0.9702-0.9837
margin,threshold=0.20,3783,341,4.603,0.8356,0.9561,0.9736,0.9609,10.265,9.3439,,0.9518-0.9870,0.9520-0.9685
margin,threshold=0.35,3783,341,8.234,0.7059,0.8977,0.9472,0.9123,9.4691,9.1709,,0.9268-0.9679,0.9024-0.9212
margin,threshold=0.50,3783,341,11.925,0.5741,0.8081,0.9267,0.8445,8.2508,9.0058,,0.8980-0.9582,0.8313-0.8612
