policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,573,59,7.0,0.75,0.9791,1.0,0.9861,8.7382,10.3083,,,
fixed-depth,0.50,573,59,14.0,0.5,0.9651,1.0,0.9769,7.0899,9.4071,,,
fixed-depth,0.75,573,59,21.0,0.25,0.8691,0.9831,0.9076,5.1283,6.6521,,,
fixed-depth,1.00,573,59,28.0,0.0,0.0,0.0,0.0,-0.0,-0.0001,,,
stability-oracle,first-final-stable,573,59,25.813,0.0781,0.0,0.0,0.0,0.7483,0.5884,,,
entropy,threshold=0.10,573,59,18.983,0.3221,0.5009,0.6102,0.5372,5.4411,6.6668,,0.5075-0.7368,0.4851-0.5812
tokentriage-minlayer,"entropy=0.10,min=0.50",573,59,19.408,0.3068,0.5009,0.6102,0.5372,5.2748,5.0509,0.0,0.5075-0.7368,0.4851-0.5812
tokentriage-stable,"entropy=0.10,min=0.50",573,59,19.965,0.287,0.438,0.0,0.2901,4.8083,0.5204,1.0,0.0000-0.0000,0.2304-0.3528
tokentriage-kstable,"entropy=0.10,min=0.50,k=2",573,59,19.48,0.3043,0.4974,0.5763,0.5233,5.2684,4.9896,0.0556,0.4776-0.7000,0.4749-0.5705
tokentriage-kstable,"entropy=0.10,min=0.50,k=3",573,59,19.597,0.3001,0.4834,0.4407,0.4679,5.1693,4.0269,0.2778,0.3590-0.6000,0.4219-0.5391
tokentriage-kstable,"entropy=0.10,min=0.50,k=4",573,59,19.695,0.2966,0.4729,0.339,0.4264,5.0838,3.1959,0.4444,0.2653-0.4600,0.3753-0.4948
tokentriage-minlayer,"entropy=0.10,min=0.65",573,59,19.609,0.2997,0.5009,0.6102,0.5372,5.2531,4.8409,0.0,0.5075-0.7368,0.4851-0.5812
tokentriage-stable,"entropy=0.10,min=0.65",573,59,19.965,0.287,0.438,0.0,0.2901,4.8083,0.5204,1.0,0.0000-0.0000,0.2304-0.3528
tokentriage-kstable,"entropy=0.10,min=0.65,k=2",573,59,19.672,0.2974,0.4956,0.5593,0.5164,5.1888,4.2158,0.0833,0.4505-0.7000,0.4696-0.5705
tokentriage-kstable,"entropy=0.10,min=0.65,k=3",573,59,19.791,0.2932,0.4764,0.3729,0.4404,5.0623,2.9878,0.3889,0.2836-0.5238,0.3821-0.5178
tokentriage-kstable,"entropy=0.10,min=0.65,k=4",573,59,19.871,0.2903,0.466,0.2712,0.3992,4.9971,2.354,0.5556,0.1765-0.3968,0.3533-0.4719
tokentriage-minlayer,"entropy=0.10,min=0.72",573,59,19.689,0.2968,0.5009,0.6102,0.5372,5.1453,3.7941,0.0,0.5075-0.7368,0.4851-0.5812
tokentriage-stable,"entropy=0.10,min=0.72",573,59,19.965,0.287,0.438,0.0,0.2901,4.8083,0.5204,1.0,0.0000-0.0000,0.2304-0.3528
tokentriage-kstable,"entropy=0.10,min=0.72,k=2",573,59,19.754,0.2945,0.4904,0.5085,0.4959,5.0874,3.2317,0.1667,0.3956-0.6889,0.4458-0.5647
tokentriage-kstable,"entropy=0.10,min=0.72,k=3",573,59,19.857,0.2908,0.4729,0.339,0.4267,4.9991,2.3742,0.4444,0.2353-0.5200,0.3603-0.5106
tokentriage-kstable,"entropy=0.10,min=0.72,k=4",573,59,19.935,0.288,0.4625,0.2373,0.3856,4.9486,1.8834,0.6111,0.1250-0.3810,0.3262-0.4680
tokentriage-minlayer,"entropy=0.10,min=0.85",573,59,19.827,0.2919,0.4817,0.4237,0.462,4.9971,2.3548,0.3056,0.3077-0.5660,0.4076-0.5321
tokentriage-stable,"entropy=0.10,min=0.85",573,59,19.979,0.2865,0.438,0.0,0.2901,4.7962,0.4032,1.0,0.0000-0.0000,0.2304-0.3528
tokentriage-kstable,"entropy=0.10,min=0.85,k=2",573,59,19.873,0.2903,0.4764,0.3729,0.4412,4.9813,2.2011,0.3889,0.2637-0.5000,0.3837-0.5037
tokentriage-kstable,"entropy=0.10,min=0.85,k=3",573,59,19.949,0.2875,0.4625,0.2373,0.3861,4.9158,1.5648,0.6111,0.1500-0.3333,0.3349-0.4452
tokentriage-kstable,"entropy=0.10,min=0.85,k=4",573,59,20.024,0.2848,0.4538,0.1525,0.3515,4.8531,0.9561,0.75,0.0857-0.2090,0.3064-0.4052
