policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,3783,341,6.0,0.75,0.9992,1.0,0.9995,10.8022,9.8163,,,
fixed-depth,0.50,3783,341,12.0,0.5,0.9979,1.0,0.9985,10.4613,9.9169,,,
fixed-depth,0.75,3783,341,18.0,0.25,0.9138,0.9501,0.9237,6.5854,5.0989,,,
fixed-depth,1.00,3783,341,24.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,,
stability-oracle,first-final-stable,3783,341,22.518,0.0618,0.0,0.0,0.0,0.7661,0.6856,,,
entropy,threshold=0.10,3783,341,21.769,0.0929,0.1187,0.1144,0.117,1.4462,1.4194,,0.0876-0.1402,0.1042-0.1290
tokentriage-minlayer,"entropy=0.10,min=0.50",3783,341,21.848,0.0897,0.1187,0.1144,0.117,1.4327,1.2694,0.0,0.0876-0.1402,0.1042-0.1290
tokentriage-stable,"entropy=0.10,min=0.50",3783,341,21.955,0.0852,0.1084,0.0,0.0747,1.3311,0.1423,1.0,0.0000-0.0000,0.0670-0.0831
tokentriage-kstable,"entropy=0.10,min=0.50,k=2",3783,341,21.859,0.0892,0.1184,0.1114,0.116,1.4245,1.1794,0.0256,0.0804-0.1375,0.1042-0.1277
tokentriage-kstable,"entropy=0.10,min=0.50,k=3",3783,341,21.881,0.0883,0.1176,0.1026,0.1128,1.4077,0.9924,0.1026,0.0724-0.1318,0.1004-0.1249
tokentriage-kstable,"entropy=0.10,min=0.50,k=4",3783,341,21.915,0.0869,0.1147,0.0704,0.1007,1.376,0.6408,0.3846,0.0437-0.0949,0.0885-0.1129
tokentriage-minlayer,"entropy=0.10,min=0.65",3783,341,21.884,0.0882,0.1187,0.1144,0.117,1.4073,0.9883,0.0,0.0876-0.1402,0.1042-0.1290
tokentriage-stable,"entropy=0.10,min=0.65",3783,341,21.955,0.0852,0.1084,0.0,0.0747,1.3311,0.1423,1.0,0.0000-0.0000,0.0670-0.0831
tokentriage-kstable,"entropy=0.10,min=0.65,k=2",3783,341,21.903,0.0874,0.1179,0.1056,0.1138,1.3849,0.7397,0.0769,0.0740-0.1344,0.1010-0.1263
tokentriage-kstable,"entropy=0.10,min=0.65,k=3",3783,341,21.92,0.0867,0.1153,0.0762,0.103,1.3706,0.5815,0.3333,0.0502-0.1061,0.0899-0.1144
