policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,3721,349,6.0,0.75,0.9997,1.0,0.9998,21.2511,16.5532,,,
fixed-depth,0.50,3721,349,12.0,0.5,1.0,1.0,1.0,23.6225,20.6412,,,
fixed-depth,0.75,3721,349,18.0,0.25,0.9976,1.0,0.9984,18.8225,16.322,,,
fixed-depth,1.00,3721,349,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
stability-oracle,first-final-stable,3721,349,23.261,0.0308,0.0,0.0,0.0,0.7901,0.4782,,,
entropy,threshold=0.10,3721,349,2.155,0.9102,0.9917,0.9914,0.9917,24.2263,23.0525,,0.9814-1.0000,0.9877-0.9948
tokentriage-minlayer,"entropy=0.10,min=0.50",3721,349,3.052,0.8728,0.9917,0.9914,0.9917,23.9811,20.4382,0.0,0.9814-1.0000,0.9877-0.9948
tokentriage-stable,"entropy=0.10,min=0.50",3721,349,4.083,0.8299,0.8987,0.0,0.6116,22.1089,0.4771,1.0,0.0000-0.0000,0.5902-0.6365
tokentriage-kstable,"entropy=0.10,min=0.50,k=2",3721,349,3.142,0.8691,0.9898,0.9713,0.9835,23.9069,19.6474,0.0202,0.9534-0.9886,0.9771-0.9899
tokentriage-kstable,"entropy=0.10,min=0.50,k=3",3721,349,3.329,0.8613,0.9817,0.8854,0.9488,23.6465,16.8707,0.1069,0.8433-0.9219,0.9330-0.9628
tokentriage-kstable,"entropy=0.10,min=0.50,k=4",3721,349,3.5,0.8542,0.9686,0.745,0.8934,23.3756,13.9822,0.2486,0.7088-0.7806,0.8802-0.9093
tokentriage-minlayer,"entropy=0.10,min=0.65",3721,349,3.415,0.8577,0.9914,0.9885,0.9905,23.8254,18.7777,0.0029,0.9770-0.9974,0.9856-0.9947
tokentriage-stable,"entropy=0.10,min=0.65",3721,349,4.083,0.8299,0.8987,0.0,0.6116,22.1089,0.4771,1.0,0.0000-0.0000,0.5902-0.6365
tokentriage-kstable,"entropy=0.10,min=0.65,k=2",3721,349,3.508,0.8538,0.9874,0.9456,0.9731,23.6306,16.701,0.0462,0.9174-0.9704,0.9625-0.9832
tokentriage-kstable,"entropy=0.10,min=0.65,k=3",3721,349,3.644,0.8481,0.9726,0.788,0.9111,23.3518,13.7281,0.2052,0.7461-0.8300,0.8948-0.9279
tokentriage-kstable,"entropy=0.10,min=0.65,k=4",3721,349,3.744,0.844,0.9597,0.6504,0.8564,23.1427,11.4989,0.3439,0.6013-0.6940,0.8360-0.8753
tokentriage-minlayer,"entropy=0.10,min=0.72",3721,349,3.599,0.85,0.9917,0.9914,0.9917,23.5896,16.264,0.0,0.9814-1.0000,0.9877-0.9948
tokentriage-stable,"entropy=0.10,min=0.72",3721,349,4.083,0.8299,0.8987,0.0,0.6116,22.1089,0.4771,1.0,0.0000-0.0000,0.5902-0.6365
tokentriage-kstable,"entropy=0.10,min=0.72,k=2",3721,349,3.683,0.8466,0.9817,0.8854,0.9488,23.3542,13.7543,0.1069,0.8431-0.9186,0.9335-0.9619
tokentriage-kstable,"entropy=0.10,min=0.72,k=3",3721,349,3.793,0.842,0.9667,0.7249,0.8863,23.0839,10.8725,0.2688,0.6813-0.7752,0.8691-0.9047
tokentriage-kstable,"entropy=0.10,min=0.72,k=4",3721,349,3.876,0.8385,0.9516,0.5645,0.8237,22.8944,8.852,0.4306,0.5167-0.6104,0.8038-0.8452
tokentriage-minlayer,"entropy=0.10,min=0.85",3721,349,3.879,0.8384,0.9745,0.808,0.9184,22.7208,7.0005,0.185,0.7649-0.8506,0.9025-0.9360
tokentriage-stable,"entropy=0.10,min=0.85",3721,349,4.098,0.8293,0.8987,0.0,0.6116,22.1037,0.4215,1.0,0.0000-0.0000,0.5902-0.6365
tokentriage-kstable,"entropy=0.10,min=0.85,k=2",3721,349,3.949,0.8354,0.9624,0.6791,0.8692,22.5697,5.3893,0.315,0.6379-0.7218,0.8524-0.8869
tokentriage-kstable,"entropy=0.10,min=0.85,k=3",3721,349,4.02,0.8325,0.943,0.4728,0.7897,22.421,3.8041,0.5231,0.4221-0.5315,0.7643-0.8183
tokentriage-kstable,"entropy=0.10,min=0.85,k=4",3721,349,4.067,0.8305,0.9274,0.3066,0.7259,22.3281,2.8137,0.6908,0.2661-0.3498,0.6978-0.7526
entropy,threshold=0.15,3721,349,1.301,0.9458,0.9997,1.0,0.9998,23.7663,23.0632,,1.0000-1.0000,0.9994-1.0000
tokentriage-minlayer,"entropy=0.15,min=0.50",3721,349,2.309,0.9038,0.9997,1.0,0.9998,23.5381,20.6298,0.0,1.0000-1.0000,0.9994-1.0000
tokentriage-stable,"entropy=0.15,min=0.50",3721,349,3.357,0.8601,0.9059,0.0,0.6166,21.648,0.4782,1.0,0.0000-0.0000,0.5946-0.6427
tokentriage-kstable,"entropy=0.15,min=0.50,k=2",3721,349,2.398,0.9001,0.9989,0.9914,0.9964,23.4795,20.0057,0.0086,0.9780-1.0000,0.9908-1.0000
tokentriage-kstable,"entropy=0.15,min=0.50,k=3",3721,349,2.594,0.8919,0.9898,0.894,0.9571,23.1995,17.0196,0.106,0.8489-0.9293,0.9407-0.9711
tokentriage-kstable,"entropy=0.15,min=0.50,k=4",3721,349,2.765,0.8848,0.9766,0.7536,0.9017,22.9291,14.1369,0.2464,0.7173-0.7919,0.8887-0.9176
tokentriage-minlayer,"entropy=0.15,min=0.65",3721,349,2.683,0.8882,0.9995,0.9971,0.9986,23.3725,18.8646,0.0029,0.9900-1.0000,0.9957-1.0000
tokentriage-stable,"entropy=0.15,min=0.65",3721,349,3.357,0.8601,0.9059,0.0,0.6166,21.648,0.4782,1.0,0.0000-0.0000,0.5946-0.6427
tokentriage-kstable,"entropy=0.15,min=0.65,k=2",3721,349,2.775,0.8844,0.996,0.9599,0.9837,23.1819,16.8324,0.0401,0.9373-0.9799,0.9744-0.9916
tokentriage-kstable,"entropy=0.15,min=0.65,k=3",3721,349,2.916,0.8785,0.9801,0.7908,0.9171,22.8936,13.7585,0.2092,0.7465-0.8339,0.8993-0.9347
tokentriage-kstable,"entropy=0.15,min=0.65,k=4",3721,349,3.016,0.8744,0.9672,0.6533,0.8624,22.6845,11.5292,0.3467,0.6042-0.6974,0.8412-0.8830
tokentriage-minlayer,"entropy=0.15,min=0.72",3721,349,2.871,0.8804,0.9997,1.0,0.9998,23.134,16.322,0.0,1.0000-1.0000,0.9994-1.0000
tokentriage-stable,"entropy=0.15,min=0.72",3721,349,3.357,0.8601,0.9059,0.0,0.6166,21.648,0.4782,1.0,0.0000-0.0000,0.5946-0.6427
tokentriage-kstable,"entropy=0.15,min=0.72,k=2",3721,349,2.955,0.8769,0.9893,0.8883,0.9547,22.8961,13.7846,0.1117,0.8431-0.9237,0.9374-0.9693
tokentriage-kstable,"entropy=0.15,min=0.72,k=3",3721,349,3.065,0.8723,0.9742,0.7278,0.8923,22.6258,10.9029,0.2722,0.6826-0.7818,0.8740-0.9113
tokentriage-kstable,"entropy=0.15,min=0.72,k=4",3721,349,3.149,0.8688,0.9592,0.5673,0.8296,22.4363,8.8824,0.4327,0.5217-0.6130,0.8091-0.8517
tokentriage-minlayer,"entropy=0.15,min=0.85",3721,349,3.152,0.8687,0.982,0.8109,0.9243,22.2626,7.0307,0.1891,0.7680-0.8531,0.9081-0.9422
tokentriage-stable,"entropy=0.15,min=0.85",3721,349,3.372,0.8595,0.9059,0.0,0.6166,21.6427,0.4215,1.0,0.0000-0.0000,0.5946-0.6427
tokentriage-kstable,"entropy=0.15,min=0.85,k=2",3721,349,3.223,0.8657,0.9699,0.6819,0.8752,22.1115,5.4194,0.3181,0.6413-0.7253,0.8566-0.8948
tokentriage-kstable,"entropy=0.15,min=0.85,k=3",3721,349,3.293,0.8628,0.9506,0.4756,0.7957,21.9628,3.8342,0.5244,0.4221-0.5331,0.7701-0.8242
tokentriage-kstable,"entropy=0.15,min=0.85,k=4",3721,349,3.34,0.8608,0.935,0.3095,0.7319,21.8699,2.8439,0.6905,0.2699-0.3506,0.7046-0.7577
entropy,threshold=0.20,3721,349,1.08,0.955,1.0,1.0,1.0,23.3993,22.8654,,1.0000-1.0000,1.0000-1.0000
tokentriage-minlayer,"entropy=0.20,min=0.50",3721,349,2.108,0.9122,1.0,1.0,1.0,23.1907,20.6412,0.0,1.0000-1.0000,1.0000-1.0000
tokentriage-stable,"entropy=0.20,min=0.50",3721,349,3.157,0.8685,0.9062,0.0,0.6168,21.2996,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.20,min=0.50,k=2",3721,349,2.198,0.9084,0.9992,0.9914,0.9966,23.1311,20.0057,0.0086,0.9780-1.0000,0.9908-1.0000
tokentriage-kstable,"entropy=0.20,min=0.50,k=3",3721,349,2.394,0.9003,0.9901,0.894,0.9573,22.851,17.0196,0.106,0.8489-0.9293,0.9408-0.9712
tokentriage-kstable,"entropy=0.20,min=0.50,k=4",3721,349,2.565,0.8931,0.9769,0.7536,0.9019,22.5806,14.1369,0.2464,0.7173-0.7919,0.8890-0.9178
tokentriage-minlayer,"entropy=0.20,min=0.65",3721,349,2.483,0.8965,0.9997,0.9971,0.9988,23.0241,18.8646,0.0029,0.9900-1.0000,0.9961-1.0000
tokentriage-stable,"entropy=0.20,min=0.65",3721,349,3.157,0.8685,0.9062,0.0,0.6168,21.2996,0.4782,1.0,0.0000-0.0000,0.5948-0.6430
tokentriage-kstable,"entropy=0.20,min=0.65,k=2",3721,349,2.575,0.8927,0.9962,0.9599,0.9839,22.8335,16.8324,0.0401,0.9373-0.9799,0.9744-0.9919
tokentriage-kstable,"entropy=0.20,min=0.65,k=3",3721,349,2.716,0.8868,0.9804,0.7908,0.9173,22.5451,13.7585,0.2092,0.7465-0.8339,0.8996-0.9351
