policy,setting,tokens,critical_tokens,avg_exit_layer,compute_saved,disagreement_all,disagreement_critical,harm_weighted_disagreement,mean_excess_nll,critical_excess_nll,critical_rescue_rate_vs_entropy,disagreement_critical_ci95,harm_weighted_ci95
fixed-depth,0.25,1942,150,7.0,0.75,0.9799,0.9867,0.9817,8.4535,9.5462,,,
fixed-depth,0.50,1942,150,14.0,0.5,0.9557,0.9533,0.955,6.9631,8.3411,,,
fixed-depth,0.75,1942,150,21.0,0.25,0.8589,0.96,0.8869,5.1568,5.3526,,,
fixed-depth,1.00,1942,150,28.0,0.0,0.0,0.0,0.0,-0.0,-0.0001,,,
stability-oracle,first-final-stable,1942,150,25.836,0.0773,0.0,0.0,0.0,0.7036,0.5186,,,
entropy,threshold=0.10,1942,150,19.556,0.3016,0.4696,0.62,0.5101,4.9327,6.8631,,0.5541-0.6772,0.4830-0.5342
tokentriage-minlayer,"entropy=0.10,min=0.50",1942,150,19.882,0.2899,0.4691,0.6133,0.508,4.8151,5.3406,0.0108,0.5478-0.6709,0.4825-0.5321
tokentriage-stable,"entropy=0.10,min=0.50",1942,150,20.342,0.2735,0.4217,0.0,0.3056,4.4368,0.4426,1.0,0.0000-0.0000,0.2826-0.3312
tokentriage-kstable,"entropy=0.10,min=0.50,k=2",1942,150,19.922,0.2885,0.4681,0.6,0.5035,4.8089,5.2602,0.0323,0.5364-0.6647,0.4800-0.5274
tokentriage-kstable,"entropy=0.10,min=0.50,k=3",1942,150,19.994,0.2859,0.4604,0.5,0.4702,4.7447,4.4293,0.1935,0.4113-0.5778,0.4415-0.4997
tokentriage-kstable,"entropy=0.10,min=0.50,k=4",1942,150,20.068,0.2833,0.4511,0.38,0.4305,4.6927,3.756,0.3871,0.3133-0.4437,0.4029-0.4560
tokentriage-minlayer,"entropy=0.10,min=0.65",1942,150,20.037,0.2844,0.4696,0.62,0.5101,4.7778,4.8584,0.0,0.5541-0.6772,0.4830-0.5342
tokentriage-stable,"entropy=0.10,min=0.65",1942,150,20.342,0.2735,0.4217,0.0,0.3056,4.4368,0.4426,1.0,0.0000-0.0000,0.2826-0.3312
tokentriage-kstable,"entropy=0.10,min=0.65,k=2",1942,150,20.071,0.2832,0.4676,0.5933,0.5012,4.7508,4.5078,0.043,0.5301-0.6612,0.4769-0.5255
tokentriage-kstable,"entropy=0.10,min=0.65,k=3",1942,150,20.154,0.2802,0.4567,0.4533,0.4547,4.6667,3.419,0.2688,0.3643-0.5333,0.4213-0.4860
tokentriage-kstable,"entropy=0.10,min=0.65,k=4",1942,150,20.208,0.2783,0.4464,0.32,0.4107,4.6235,2.8606,0.4839,0.2429-0.3901,0.3827-0.4375
tokentriage-minlayer,"entropy=0.10,min=0.72",1942,150,20.1,0.2821,0.4691,0.6133,0.508,4.6796,3.5864,0.0108,0.5478-0.6709,0.4825-0.5321
tokentriage-stable,"entropy=0.10,min=0.72",1942,150,20.342,0.2735,0.4217,0.0,0.3056,4.4368,0.4426,1.0,0.0000-0.0000,0.2826-0.3312
tokentriage-kstable,"entropy=0.10,min=0.72,k=2",1942,150,20.135,0.2809,0.466,0.5733,0.4946,4.6593,3.3241,0.0753,0.4915-0.6519,0.4652-0.5213
tokentriage-kstable,"entropy=0.10,min=0.72,k=3",1942,150,20.209,0.2782,0.4547,0.4267,0.4459,4.5957,2.5003,0.3118,0.3438-0.5070,0.4149-0.4764
tokentriage-kstable,"entropy=0.10,min=0.72,k=4",1942,150,20.266,0.2762,0.4434,0.28,0.3976,4.55,1.9085,0.5484,0.2083-0.3526,0.3693-0.4293
tokentriage-minlayer,"entropy=0.10,min=0.85",1942,150,20.21,0.2782,0.4624,0.5267,0.4794,4.6015,2.5756,0.1828,0.4424-0.6133,0.4476-0.5116
tokentriage-stable,"entropy=0.10,min=0.85",1942,150,20.348,0.2733,0.4217,0.0,0.3056,4.4333,0.3971,1.0,0.0000-0.0000,0.2826-0.3312
tokentriage-kstable,"entropy=0.10,min=0.85,k=2",1942,150,20.251,0.2768,0.4588,0.48,0.464,4.5965,2.511,0.2473,0.3898-0.5678,0.4355-0.4923
tokentriage-kstable,"entropy=0.10,min=0.85,k=3",1942,150,20.313,0.2746,0.4459,0.3133,0.4086,4.5233,1.5624,0.5054,0.2419-0.3642,0.3797-0.4339
tokentriage-kstable,"entropy=0.10,min=0.85,k=4",1942,150,20.368,0.2726,0.4336,0.1533,0.3558,4.4622,0.7714,0.7527,0.1081-0.1951,0.3343-0.3815
entropy,threshold=0.15,1942,150,16.213,0.421,0.6442,0.7533,0.6738,6.3459,7.8619,,0.6918-0.8146,0.6462-0.6976
tokentriage-minlayer,"entropy=0.15,min=0.50",1942,150,16.687,0.404,0.6437,0.7467,0.6717,6.2074,6.0683,0.0088,0.6839-0.8074,0.6448-0.6939
tokentriage-stable,"entropy=0.15,min=0.50",1942,150,17.281,0.3828,0.586,0.0,0.4246,5.7735,0.4506,1.0,0.0000-0.0000,0.3923-0.4578
tokentriage-kstable,"entropy=0.15,min=0.50,k=2",1942,150,16.754,0.4016,0.6416,0.72,0.6629,6.1862,5.794,0.0531,0.6507-0.7881,0.6374-0.6873
tokentriage-kstable,"entropy=0.15,min=0.50,k=3",1942,150,16.852,0.3981,0.6308,0.58,0.6162,6.1142,4.8621,0.2389,0.4915-0.6718,0.5847-0.6496
tokentriage-kstable,"entropy=0.15,min=0.50,k=4",1942,150,16.944,0.3948,0.6205,0.4467,0.5716,6.0591,4.1488,0.4071,0.3700-0.5312,0.5387-0.6031
tokentriage-minlayer,"entropy=0.15,min=0.65",1942,150,16.889,0.3968,0.6442,0.7533,0.6738,6.1633,5.4974,0.0,0.6918-0.8146,0.6462-0.6976
tokentriage-stable,"entropy=0.15,min=0.65",1942,150,17.281,0.3828,0.586,0.0,0.4246,5.7735,0.4506,1.0,0.0000-0.0000,0.3923-0.4578
tokentriage-kstable,"entropy=0.15,min=0.65,k=2",1942,150,16.951,0.3946,0.6401,0.7,0.6564,6.1146,4.8675,0.0796,0.6266-0.7778,0.6279-0.6828
tokentriage-kstable,"entropy=0.15,min=0.65,k=3",1942,150,17.071,0.3903,0.6246,0.5,0.5892,6.0131,3.5532,0.3451,0.3986-0.5878,0.5537-0.6186
tokentriage-kstable,"entropy=0.15,min=0.65,k=4",1942,150,17.133,0.3881,0.6133,0.3533,0.5407,5.9706,3.0029,0.531,0.2786-0.4297,0.5081-0.5716
tokentriage-minlayer,"entropy=0.15,min=0.72",1942,150,16.973,0.3938,0.6437,0.7467,0.6717,6.0465,3.9858,0.0088,0.6839-0.8074,0.6448-0.6939
tokentriage-stable,"entropy=0.15,min=0.72",1942,150,17.281,0.3828,0.586,0.0,0.4246,5.7735,0.4506,1.0,0.0000-0.0000,0.3923-0.4578
tokentriage-kstable,"entropy=0.15,min=0.72,k=2",1942,150,17.033,0.3917,0.638,0.6733,0.6476,6.0137,3.5602,0.115,0.5939-0.7518,0.6157-0.6736
tokentriage-kstable,"entropy=0.15,min=0.72,k=3",1942,150,17.134,0.3881,0.622,0.4667,0.5782,5.9394,2.5984,0.3894,0.3742-0.5577,0.5432-0.6089
tokentriage-kstable,"entropy=0.15,min=0.72,k=4",1942,150,17.202,0.3856,0.6092,0.3,0.5232,5.8914,1.9778,0.6018,0.2302-0.3769,0.4891-0.5531
tokentriage-minlayer,"entropy=0.15,min=0.85",1942,150,17.114,0.3888,0.6359,0.6467,0.6386,5.9685,2.9758,0.177,0.5548-0.7400,0.6045-0.6729
tokentriage-stable,"entropy=0.15,min=0.85",1942,150,17.287,0.3826,0.586,0.0,0.4246,5.7707,0.4149,1.0,0.0000-0.0000,0.3923-0.4578
tokentriage-kstable,"entropy=0.15,min=0.85,k=2",1942,150,17.173,0.3867,0.6298,0.5667,0.6123,5.9515,2.7554,0.2743,0.4726-0.6623,0.5767-0.6477
tokentriage-kstable,"entropy=0.15,min=0.85,k=3",1942,150,17.253,0.3838,0.6128,0.3467,0.5386,5.8612,1.5865,0.5575,0.2597-0.4110,0.5022-0.5664
tokentriage-kstable,"entropy=0.15,min=0.85,k=4",1942,150,17.314,0.3816,0.5978,0.1533,0.4748,5.7985,0.7751,0.7965,0.1081-0.1951,0.4458-0.5019
entropy,threshold=0.20,1942,150,13.685,0.5113,0.7492,0.86,0.7796,7.2013,8.9454,,0.8034-0.9256,0.7554-0.7981
tokentriage-minlayer,"entropy=0.20,min=0.50",1942,150,14.233,0.4917,0.7477,0.84,0.7728,7.045,6.9224,0.0233,0.7889-0.9037,0.7489-0.7918
tokentriage-stable,"entropy=0.20,min=0.50",1942,150,14.919,0.4672,0.6828,0.0,0.4948,6.5493,0.5051,1.0,0.0000-0.0000,0.4617-0.5292
tokentriage-kstable,"entropy=0.20,min=0.50,k=2",1942,150,14.315,0.4887,0.7451,0.8067,0.762,6.9992,6.3295,0.062,0.7401-0.8667,0.7365-0.7838
tokentriage-kstable,"entropy=0.20,min=0.50,k=3",1942,150,14.436,0.4844,0.7333,0.6533,0.7105,6.9124,5.205,0.2481,0.5730-0.7285,0.6814-0.7364
tokentriage-kstable,"entropy=0.20,min=0.50,k=4",1942,150,14.538,0.4808,0.7209,0.4933,0.657,6.8598,4.5241,0.4264,0.4286-0.5629,0.6233-0.6830
tokentriage-minlayer,"entropy=0.20,min=0.65",1942,150,14.471,0.4832,0.7492,0.86,0.7797,6.9948,6.272,0.0078,0.8121-0.9185,0.7564-0.7970
tokentriage-stable,"entropy=0.20,min=0.65",1942,150,14.919,0.4672,0.6828,0.0,0.4948,6.5493,0.5051,1.0,0.0000-0.0000,0.4617-0.5292
tokentriage-kstable,"entropy=0.20,min=0.65,k=2",1942,150,14.553,0.4803,0.7441,0.7933,0.7577,6.9145,5.233,0.0853,0.7233-0.8605,0.7299-0.7791
tokentriage-kstable,"entropy=0.20,min=0.65,k=3",1942,150,14.696,0.4752,0.7261,0.56,0.6794,6.7975,3.7181,0.3643,0.4545-0.6403,0.6383-0.7091
tokentriage-kstable,"entropy=0.20,min=0.65,k=4",1942,150,14.768,0.4726,0.7116,0.3733,0.6175,6.754,3.1543,0.5659,0.2989-0.4500,0.5812-0.6493
tokentriage-minlayer,"entropy=0.20,min=0.72",1942,150,14.568,0.4797,0.7482,0.8467,0.7752,6.8736,4.7028,0.0233,0.7910-0.9106,0.7530-0.7927
tokentriage-stable,"entropy=0.20,min=0.72",1942,150,14.919,0.4672,0.6828,0.0,0.4948,6.5499,0.5127,1.0,0.0000-0.0000,0.4617-0.5292
tokentriage-kstable,"entropy=0.20,min=0.72,k=2",1942,150,14.643,0.477,0.7415,0.76,0.7466,6.8136,3.9268,0.124,0.6644-0.8372,0.7109-0.7710
tokentriage-kstable,"entropy=0.20,min=0.72,k=3",1942,150,14.767,0.4726,0.7225,0.5133,0.6639,6.7221,2.7418,0.4186,0.4110-0.6031,0.6217-0.6990
tokentriage-kstable,"entropy=0.20,min=0.72,k=4",1942,150,14.843,0.4699,0.707,0.3133,0.5978,6.6722,2.096,0.6357,0.2333-0.3846,0.5563-0.6318
tokentriage-minlayer,"entropy=0.20,min=0.85",1942,150,14.728,0.474,0.7394,0.7333,0.7377,6.7862,3.5711,0.1628,0.6444-0.8264,0.7023-0.7639
tokentriage-stable,"entropy=0.20,min=0.85",1942,150,14.926,0.4669,0.6828,0.0,0.4948,6.5473,0.4786,1.0,0.0000-0.0000,0.4617-0.5292
tokentriage-kstable,"entropy=0.20,min=0.85,k=2",1942,150,14.803,0.4713,0.7317,0.6333,0.7048,6.7394,2.9653,0.2713,0.5260-0.7422,0.6611-0.7374
tokentriage-kstable,"entropy=0.20,min=0.85,k=3",1942,150,14.895,0.468,0.7122,0.38,0.6199,6.6348,1.6114,0.5659,0.2893-0.4500,0.5810-0.6479
tokentriage-kstable,"entropy=0.20,min=0.85,k=4",1942,150,14.962,0.4656,0.6946,0.1533,0.5449,6.5702,0.7751,0.8217,0.1081-0.1951,0.5129-0.5708
entropy,threshold=0.30,1942,150,9.511,0.6603,0.8764,0.9267,0.8901,8.492,9.884,,0.8788-0.9726,0.8717-0.9033
tokentriage-minlayer,"entropy=0.30,min=0.50",1942,150,10.166,0.6369,0.8744,0.9,0.8811,8.3218,7.6802,0.0288,0.8547-0.9453,0.8643-0.8963
tokentriage-stable,"entropy=0.30,min=0.50",1942,150,10.965,0.6084,0.8048,0.0,0.5832,7.7681,0.5116,1.0,0.0000-0.0000,0.5464-0.6228
tokentriage-kstable,"entropy=0.30,min=0.50,k=2",1942,150,10.256,0.6337,0.8723,0.8733,0.8727,8.2878,7.2398,0.0576,0.8113-0.9262,0.8512-0.8903
